Timestamp, AvailableBikes, AvailableDocks
1370056949, 13, 21
1370056973, 13, 21
1370057402, 13, 21
1370057462, 13, 21
1370057522, 13, 21
1370057581, 13, 21
1370057641, 13, 21
1370057702, 13, 21
1370057762, 13, 21
1370057822, 13, 21
1370057881, 12, 22
1370057941, 12, 22
1370058001, 12, 22
1370058062, 12, 22
1370058121, 12, 22
1370058182, 12, 22
1370058242, 12, 22
1370058307, 12, 22
1370058363, 12, 22
1370058429, 12, 22
1370058481, 12, 22
1370058545, 12, 22
1370058602, 12, 22
1370058661, 12, 22
1370058722, 12, 22
1370058784, 12, 22
1370058841, 12, 22
1370058907, 12, 22
1370058962, 12, 22
1370059021, 12, 22
1370059089, 12, 22
1370059142, 12, 22
1370059202, 12, 22
1370059262, 12, 22
1370059321, 12, 22
1370059382, 12, 22
1370059442, 12, 22
1370059502, 13, 21
