date,availableBikes,availableDocks
1370056949,0,17
1370056973,0,17
1370057402,0,17
1370057462,0,17
1370057522,0,17
1370057581,0,17
1370057641,0,17
1370057702,0,17
1370057762,0,17
1370057822,0,17
1370057881,0,17
1370057941,0,17
1370058001,0,17
1370058062,0,17
1370058121,0,17
1370058182,0,17
1370058242,0,17
1370058307,0,17
1370058363,0,17
1370058429,0,17
1370058481,0,17
1370058545,0,17
1370058602,0,17
1370058661,0,17
1370058722,0,17
1370058784,0,17
1370058841,0,17
1370058907,0,17
1370058962,0,17
1370059021,0,17
1370059089,0,17
1370059142,0,17
1370059202,0,17
1370059262,0,17
1370059321,0,17
1370059382,0,17
1370059442,0,17
1370059502,0,17
1370059561,0,17
1370059622,0,17
1370059681,0,17
1370059742,0,17
1370059802,0,17
1370059861,0,17
1370059922,0,17
1370059981,0,17
1370060041,0,17
1370060102,0,17
1370060161,0,17
1370060224,0,17
1370060281,0,17
1370060341,0,17
1370060401,0,17
1370060464,0,17
1370060522,0,17
1370060585,1,16
1370060641,1,16
1370060702,1,16
1370060762,1,16
1370060822,1,16
1370060881,1,16
1370060942,1,16
1370061002,1,16
1370061061,1,16
1370061121,1,16
1370061181,1,16
1370061241,1,16
1370061302,1,16
1370061364,1,16
1370061421,1,16
1370061482,1,16
1370061542,1,16
1370061602,1,16
1370061661,1,16
1370061722,0,17
1370061782,0,17
1370061844,0,17
