Timestamp, AvailableBikes, AvailableDocks
1370056949, 8, 12
1370056973, 8, 12
1370057402, 8, 12
1370057462, 8, 12
1370057522, 8, 12
1370057581, 8, 12
1370057641, 8, 12
1370057702, 8, 12
1370057762, 8, 12
1370057822, 7, 13
1370057881, 7, 13
1370057941, 7, 12
1370058001, 6, 13
1370058062, 6, 13
1370058121, 6, 13
1370058182, 6, 13
1370058242, 6, 13
1370058307, 6, 13
1370058363, 6, 13
1370058429, 6, 13
1370058481, 6, 13
1370058545, 6, 13
1370058602, 6, 13
1370058661, 6, 13
1370058722, 6, 13
1370058784, 6, 13
1370058841, 6, 13
1370058907, 6, 13
1370058962, 6, 13
1370059021, 6, 13
1370059089, 6, 13
1370059142, 6, 13
1370059202, 6, 13
1370059262, 6, 13
1370059321, 6, 13
1370059382, 6, 13
1370059442, 6, 13
1370059502, 6, 13
