Timestamp, AvailableBikes, AvailableDocks
1370056949, 54, 2
1370056973, 54, 2
1370057402, 55, 1
1370057462, 55, 1
1370057522, 55, 1
1370057581, 55, 1
1370057641, 55, 1
1370057702, 55, 1
1370057762, 55, 1
1370057822, 55, 1
1370057881, 55, 1
1370057941, 55, 1
1370058001, 55, 1
1370058062, 55, 1
1370058121, 55, 1
1370058182, 55, 1
1370058242, 55, 1
1370058307, 55, 1
1370058363, 55, 1
1370058429, 55, 1
1370058481, 55, 1
1370058545, 55, 1
1370058602, 55, 1
1370058661, 55, 1
1370058722, 55, 1
1370058784, 55, 1
1370058841, 55, 1
1370058907, 55, 1
1370058962, 55, 1
1370059021, 55, 1
1370059089, 55, 1
1370059142, 55, 1
1370059202, 55, 1
1370059262, 55, 1
1370059321, 55, 1
1370059382, 55, 1
1370059442, 55, 1
1370059502, 55, 1
