Timestamp, AvailableBikes, AvailableDocks
1370056949, 27, 11
1370056973, 27, 11
1370057402, 27, 11
1370057462, 27, 11
1370057522, 27, 11
1370057581, 27, 11
1370057641, 27, 11
1370057702, 27, 11
1370057762, 27, 11
1370057822, 27, 11
1370057881, 27, 11
1370057941, 27, 11
1370058001, 27, 11
1370058062, 27, 11
1370058121, 26, 12
1370058182, 26, 12
1370058242, 26, 12
1370058307, 26, 12
1370058363, 26, 12
1370058429, 26, 12
1370058481, 26, 12
1370058545, 26, 12
1370058602, 26, 12
1370058661, 26, 12
1370058722, 26, 12
1370058784, 26, 12
1370058841, 26, 12
1370058907, 26, 12
1370058962, 26, 12
1370059021, 26, 12
1370059089, 26, 12
1370059142, 26, 12
1370059202, 26, 12
1370059262, 26, 12
1370059321, 26, 12
1370059382, 26, 12
1370059442, 26, 12
1370059502, 26, 12
