Timestamp, AvailableBikes, AvailableDocks
1370056949, 25, 1
1370056973, 25, 1
1370057402, 25, 1
1370057462, 25, 1
1370057522, 25, 1
1370057581, 25, 1
1370057641, 25, 1
1370057702, 25, 1
1370057762, 25, 1
1370057822, 25, 1
1370057881, 25, 1
1370057941, 25, 1
1370058001, 25, 1
1370058062, 25, 1
1370058121, 25, 1
1370058182, 25, 1
1370058242, 25, 1
1370058307, 25, 1
1370058363, 25, 1
1370058429, 25, 1
1370058481, 25, 1
1370058545, 25, 1
1370058602, 25, 1
1370058661, 25, 1
1370058722, 25, 1
1370058784, 25, 1
1370058841, 25, 1
1370058907, 25, 1
1370058962, 25, 1
1370059021, 25, 1
1370059089, 25, 1
1370059142, 25, 1
1370059202, 25, 1
1370059262, 25, 1
1370059321, 25, 1
1370059382, 25, 1
1370059442, 25, 1
1370059502, 25, 1
