Timestamp, AvailableBikes, AvailableDocks
1370056949, 17, 5
1370056973, 17, 5
1370057402, 17, 5
1370057462, 17, 5
1370057522, 17, 5
1370057581, 17, 5
1370057641, 17, 5
1370057702, 17, 5
1370057762, 17, 5
1370057822, 17, 5
1370057881, 17, 5
1370057941, 17, 5
1370058001, 17, 5
1370058062, 17, 5
1370058121, 17, 5
1370058182, 17, 5
1370058242, 17, 5
1370058307, 17, 5
1370058363, 17, 5
1370058429, 17, 5
1370058481, 17, 5
1370058545, 17, 5
1370058602, 17, 5
1370058661, 17, 5
1370058722, 17, 5
1370058784, 17, 5
1370058841, 16, 6
1370058907, 16, 6
1370058962, 16, 6
1370059021, 16, 6
1370059089, 16, 6
1370059142, 16, 6
1370059202, 16, 6
1370059262, 16, 6
1370059321, 16, 6
1370059382, 16, 6
1370059442, 16, 6
1370059502, 16, 6
