date,availableBikes,availableDocks
1370056949,10,21
1370056973,10,21
1370057402,10,21
1370057462,10,21
1370057522,10,21
1370057581,10,21
1370057641,10,21
1370057702,10,21
1370057762,10,21
1370057822,10,21
1370057881,10,21
1370057941,10,21
1370058001,10,21
1370058062,10,21
1370058121,10,21
1370058182,10,21
1370058242,10,21
1370058307,11,20
1370058363,18,13
1370058429,21,10
1370058481,21,10
1370058545,21,10
1370058602,20,12
1370058661,20,12
1370058722,20,12
1370058784,20,12
1370058841,21,11
1370058907,22,10
1370058962,22,10
1370059021,22,10
1370059089,22,10
1370059142,22,10
1370059202,22,10
1370059262,22,10
1370059321,22,10
1370059382,22,10
1370059442,22,10
1370059502,22,10
1370059561,22,10
1370059622,22,10
1370059681,22,10
1370059742,22,10
1370059802,23,9
1370059861,23,9
1370059922,23,9
1370059981,23,9
1370060041,23,9
1370060102,23,9
1370060161,23,9
1370060224,23,9
1370060281,23,9
1370060341,23,9
1370060401,23,9
1370060464,23,9
1370060522,23,9
1370060585,23,9
1370060641,23,9
1370060702,23,9
1370060762,23,9
1370060822,23,9
1370060881,23,9
1370060942,23,9
1370061002,23,9
1370061061,23,9
1370061121,23,9
1370061181,23,9
1370061241,23,9
1370061302,23,9
1370061364,23,9
1370061421,23,9
1370061482,23,9
1370061542,23,9
1370061602,23,9
1370061661,23,9
1370061722,23,9
1370061782,23,9
1370061844,23,9
