Timestamp, AvailableBikes, AvailableDocks
1370056949, 0, 0
1370056973, 0, 0
1370057402, 0, 0
1370057462, 0, 0
1370057522, 0, 0
1370057581, 0, 0
1370057641, 0, 0
1370057702, 0, 0
1370057762, 0, 0
1370057822, 0, 0
1370057881, 0, 0
1370057941, 0, 0
1370058001, 0, 0
1370058062, 0, 0
1370058121, 0, 0
1370058182, 0, 0
1370058242, 0, 0
1370058307, 0, 0
1370058363, 0, 0
1370058429, 0, 0
1370058481, 0, 0
1370058545, 0, 0
1370058602, 0, 0
1370058661, 0, 0
1370058722, 0, 0
1370058784, 0, 0
1370058841, 0, 0
1370058907, 0, 0
1370058962, 0, 0
1370059021, 0, 0
1370059089, 0, 0
1370059142, 0, 0
1370059202, 0, 0
1370059262, 0, 0
1370059321, 0, 0
1370059382, 0, 0
1370059442, 0, 0
1370059502, 0, 0
