Timestamp, AvailableBikes, AvailableDocks
1370056949, 30, 3
1370056973, 30, 3
1370057402, 30, 3
1370057462, 30, 3
1370057522, 30, 3
1370057581, 30, 3
1370057641, 30, 3
1370057702, 30, 3
1370057762, 30, 3
1370057822, 30, 3
1370057881, 30, 3
1370057941, 30, 3
1370058001, 30, 3
1370058062, 30, 3
1370058121, 30, 3
1370058182, 30, 3
1370058242, 30, 3
1370058307, 30, 3
1370058363, 30, 3
1370058429, 30, 3
1370058481, 30, 3
1370058545, 30, 3
1370058602, 30, 3
1370058661, 30, 3
1370058722, 30, 3
1370058784, 30, 3
1370058841, 30, 3
1370058907, 30, 3
1370058962, 30, 3
1370059021, 30, 3
1370059089, 30, 3
1370059142, 30, 3
1370059202, 30, 3
1370059262, 30, 3
1370059321, 30, 3
1370059382, 30, 3
1370059442, 30, 3
1370059502, 30, 3
