date,availableBikes,availableDocks
1370056949,6,17
1370056973,6,17
1370057402,6,17
1370057462,6,17
1370057522,6,17
1370057581,6,17
1370057641,6,17
1370057702,6,17
1370057762,6,17
1370057822,6,17
1370057881,6,17
1370057941,6,17
1370058001,6,17
1370058062,6,17
1370058121,6,17
1370058182,6,17
1370058242,6,17
1370058307,6,17
1370058363,6,17
1370058429,6,17
1370058481,6,17
1370058545,6,17
1370058602,6,17
1370058661,6,17
1370058722,6,17
1370058784,6,17
1370058841,6,17
1370058907,6,17
1370058962,6,17
1370059021,6,17
1370059089,6,17
1370059142,6,17
1370059202,6,17
1370059262,6,17
1370059321,6,17
1370059382,6,17
1370059442,6,17
1370059502,6,17
1370059561,6,17
1370059622,6,17
1370059681,6,17
1370059742,6,17
1370059802,6,17
1370059861,6,17
1370059922,6,17
1370059981,6,17
1370060041,6,17
1370060102,6,17
1370060161,6,17
1370060224,6,17
1370060281,6,17
1370060341,6,17
1370060401,6,17
1370060464,6,17
1370060522,6,17
1370060585,6,17
1370060641,6,17
1370060702,6,17
1370060762,6,17
1370060822,6,17
1370060881,6,17
1370060942,6,17
1370061002,6,17
1370061061,6,17
1370061121,6,17
1370061181,6,17
1370061241,6,17
1370061302,6,17
1370061364,6,17
1370061421,6,17
1370061482,6,17
1370061542,6,17
1370061602,6,17
1370061661,6,17
1370061722,6,17
1370061782,6,17
1370061844,6,17
