Timestamp, AvailableBikes, AvailableDocks
1370056949, 32, 7
1370056973, 32, 7
1370057402, 32, 7
1370057462, 32, 7
1370057522, 32, 7
1370057581, 32, 7
1370057641, 31, 8
1370057702, 31, 8
1370057762, 31, 8
1370057822, 31, 8
1370057881, 31, 8
1370057941, 31, 8
1370058001, 31, 8
1370058062, 31, 8
1370058121, 31, 8
1370058182, 31, 8
1370058242, 31, 8
1370058307, 31, 8
1370058363, 31, 8
1370058429, 31, 8
1370058481, 31, 8
1370058545, 31, 8
1370058602, 31, 8
1370058661, 31, 8
1370058722, 31, 8
1370058784, 31, 8
1370058841, 31, 8
1370058907, 31, 8
1370058962, 31, 8
1370059021, 31, 8
1370059089, 31, 8
1370059142, 31, 8
1370059202, 31, 8
1370059262, 31, 8
1370059321, 31, 8
1370059382, 31, 8
1370059442, 31, 8
1370059502, 31, 8
