date,availableBikes,availableDocks
1370056949,48,4
1370056973,48,4
1370057402,48,4
1370057462,48,4
1370057522,48,4
1370057581,48,4
1370057641,48,4
1370057702,49,3
1370057762,49,3
1370057822,49,3
1370057881,49,3
1370057941,49,3
1370058001,49,3
1370058062,49,3
1370058121,49,3
1370058182,49,3
1370058242,49,3
1370058307,49,3
1370058363,49,3
1370058429,49,3
1370058481,49,3
1370058545,49,3
1370058602,49,3
1370058661,49,3
1370058722,49,3
1370058784,49,3
1370058841,49,3
1370058907,49,3
1370058962,49,3
1370059021,49,3
1370059089,49,3
1370059142,49,3
1370059202,49,3
1370059262,49,3
1370059321,49,3
1370059382,49,3
1370059442,49,3
1370059502,49,3
1370059561,49,3
1370059622,49,3
1370059681,49,3
1370059742,49,3
1370059802,49,3
1370059861,49,3
1370059922,49,3
1370059981,49,3
1370060041,49,3
1370060102,49,3
1370060161,49,3
1370060224,49,3
1370060281,49,3
1370060341,49,3
1370060401,49,3
1370060464,49,3
1370060522,49,3
1370060585,49,3
1370060641,49,3
1370060702,49,3
1370060762,49,3
1370060822,49,3
1370060881,49,3
1370060942,49,3
1370061002,49,3
1370061061,49,3
1370061121,49,3
1370061181,49,3
1370061241,49,3
1370061302,49,3
1370061364,49,3
1370061421,49,3
1370061482,49,3
1370061542,49,3
1370061602,49,3
1370061661,49,3
1370061722,49,3
1370061782,49,3
1370061844,49,3
