date,availableBikes,availableDocks
1370056949,13,9
1370056973,13,9
1370057402,13,9
1370057462,13,9
1370057522,13,9
1370057581,13,9
1370057641,13,9
1370057702,13,9
1370057762,13,9
1370057822,13,9
1370057881,13,9
1370057941,13,9
1370058001,13,9
1370058062,13,9
1370058121,13,9
1370058182,13,9
1370058242,13,9
1370058307,13,9
1370058363,13,9
1370058429,13,9
1370058481,13,9
1370058545,13,9
1370058602,13,9
1370058661,13,9
1370058722,13,9
1370058784,13,9
1370058841,13,9
1370058907,13,9
1370058962,13,9
1370059021,13,9
1370059089,13,9
1370059142,13,9
1370059202,13,9
1370059262,13,9
1370059321,13,9
1370059382,13,9
1370059442,13,9
1370059502,13,9
1370059561,13,9
1370059622,13,9
1370059681,13,9
1370059742,13,9
1370059802,13,9
1370059861,13,9
1370059922,13,9
1370059981,13,9
1370060041,13,9
1370060102,13,9
1370060161,13,9
1370060224,13,9
1370060281,13,9
1370060341,13,9
1370060401,13,9
1370060464,13,9
1370060522,13,9
1370060585,13,9
1370060641,13,9
1370060702,13,9
1370060762,13,9
1370060822,13,9
1370060881,13,9
1370060942,13,9
1370061002,13,9
1370061061,13,9
1370061121,13,9
1370061181,13,9
1370061241,13,9
1370061302,13,9
1370061364,13,9
1370061421,13,9
1370061482,13,9
1370061542,13,9
1370061602,13,9
1370061661,13,9
1370061722,13,9
1370061782,13,9
1370061844,13,9
