Timestamp, AvailableBikes, AvailableDocks
1370056949, 12, 21
1370056973, 12, 21
1370057402, 12, 21
1370057462, 12, 21
1370057522, 12, 21
1370057581, 12, 21
1370057641, 12, 21
1370057702, 12, 21
1370057762, 12, 21
1370057822, 12, 21
1370057881, 12, 21
1370057941, 12, 21
1370058001, 12, 21
1370058062, 12, 21
1370058121, 11, 22
1370058182, 11, 22
1370058242, 11, 22
1370058307, 11, 22
1370058363, 11, 22
1370058429, 11, 22
1370058481, 11, 22
1370058545, 11, 22
1370058602, 11, 22
1370058661, 10, 23
1370058722, 10, 23
1370058784, 10, 23
1370058841, 10, 23
1370058907, 10, 23
1370058962, 10, 23
1370059021, 10, 23
1370059089, 10, 23
1370059142, 10, 23
1370059202, 10, 23
1370059262, 10, 23
1370059321, 10, 23
1370059382, 10, 23
1370059442, 10, 23
1370059502, 10, 23
