date,availableBikes,availableDocks
1370056949,11,21
1370056973,10,22
1370057402,10,22
1370057462,10,22
1370057522,10,22
1370057581,10,22
1370057641,10,22
1370057702,10,22
1370057762,10,22
1370057822,10,22
1370057881,10,22
1370057941,10,22
1370058001,10,22
1370058062,10,22
1370058121,10,22
1370058182,10,22
1370058242,10,22
1370058307,10,22
1370058363,10,22
1370058429,10,22
1370058481,10,22
1370058545,10,22
1370058602,10,22
1370058661,10,22
1370058722,10,22
1370058784,10,22
1370058841,10,22
1370058907,10,22
1370058962,10,22
1370059021,10,22
1370059089,10,22
1370059142,10,22
1370059202,10,22
1370059262,10,22
1370059321,10,22
1370059382,10,22
1370059442,10,22
1370059502,10,22
1370059561,10,22
1370059622,10,22
1370059681,10,22
1370059742,10,22
1370059802,10,22
1370059861,10,22
1370059922,10,22
1370059981,10,22
1370060041,10,22
1370060102,10,22
1370060161,10,22
1370060224,10,22
1370060281,10,22
1370060341,10,22
1370060401,10,22
1370060464,10,22
1370060522,10,22
1370060585,10,22
1370060641,10,22
1370060702,10,22
1370060762,10,22
1370060822,10,22
1370060881,10,22
1370060942,10,22
1370061002,10,22
1370061061,10,22
1370061121,10,22
1370061181,10,22
1370061241,10,22
1370061302,10,22
1370061364,10,22
1370061421,10,22
1370061482,10,22
1370061542,10,22
1370061602,10,22
1370061661,10,22
1370061722,10,22
1370061782,10,22
1370061844,10,22
