Timestamp, AvailableBikes, AvailableDocks
1370056949, 22, 6
1370056973, 22, 6
1370057402, 22, 6
1370057462, 22, 6
1370057522, 22, 6
1370057581, 22, 6
1370057641, 22, 6
1370057702, 22, 6
1370057762, 22, 6
1370057822, 22, 6
1370057881, 22, 6
1370057941, 22, 6
1370058001, 22, 6
1370058062, 22, 6
1370058121, 22, 6
1370058182, 22, 6
1370058242, 22, 6
1370058307, 22, 6
1370058363, 22, 6
1370058429, 22, 6
1370058481, 22, 6
1370058545, 22, 6
1370058602, 22, 6
1370058661, 22, 6
1370058722, 22, 6
1370058784, 22, 6
1370058841, 23, 5
1370058907, 23, 5
1370058962, 23, 5
1370059021, 23, 5
1370059089, 23, 5
1370059142, 23, 5
1370059202, 23, 5
1370059262, 23, 5
1370059321, 23, 5
1370059382, 23, 5
1370059442, 23, 5
1370059502, 23, 5
