date,availableBikes,availableDocks
1370056949,34,8
1370056973,34,8
1370057402,34,8
1370057462,34,8
1370057522,34,8
1370057581,34,8
1370057641,34,8
1370057702,34,8
1370057762,34,8
1370057822,34,8
1370057881,34,8
1370057941,34,8
1370058001,34,8
1370058062,34,8
1370058121,34,8
1370058182,34,8
1370058242,34,8
1370058307,34,8
1370058363,34,8
1370058429,34,8
1370058481,34,8
1370058545,34,8
1370058602,34,8
1370058661,34,8
1370058722,34,8
1370058784,34,8
1370058841,34,8
1370058907,34,8
1370058962,34,8
1370059021,34,8
1370059089,34,8
1370059142,34,8
1370059202,34,8
1370059262,34,8
1370059321,34,8
1370059382,34,8
1370059442,34,8
1370059502,34,8
1370059561,34,8
1370059622,34,8
1370059681,34,8
1370059742,34,8
1370059802,34,8
1370059861,34,8
1370059922,34,8
1370059981,34,8
1370060041,34,8
1370060102,34,8
1370060161,34,8
1370060224,34,8
1370060281,34,8
1370060341,34,8
1370060401,34,8
1370060464,34,8
1370060522,34,8
1370060585,34,8
1370060641,34,8
1370060702,34,8
1370060762,34,8
1370060822,34,8
1370060881,34,8
1370060942,34,8
1370061002,34,8
1370061061,34,8
1370061121,34,8
1370061181,34,8
1370061241,34,8
1370061302,34,8
1370061364,34,8
1370061421,34,8
1370061482,34,8
1370061542,34,8
1370061602,34,8
1370061661,34,8
1370061722,34,8
1370061782,34,8
1370061844,34,8
