date,availableBikes,availableDocks
1370056949,29,8
1370056973,29,8
1370057402,29,8
1370057462,29,8
1370057522,29,8
1370057581,29,8
1370057641,29,8
1370057702,29,8
1370057762,29,8
1370057822,29,8
1370057881,29,8
1370057941,29,8
1370058001,29,8
1370058062,29,8
1370058121,29,8
1370058182,29,8
1370058242,29,8
1370058307,29,8
1370058363,29,8
1370058429,29,8
1370058481,29,8
1370058545,29,8
1370058602,29,8
1370058661,29,8
1370058722,29,8
1370058784,29,8
1370058841,29,8
1370058907,29,8
1370058962,29,8
1370059021,29,8
1370059089,29,8
1370059142,29,8
1370059202,29,8
1370059262,29,8
1370059321,29,8
1370059382,29,8
1370059442,29,8
1370059502,29,8
1370059561,29,8
1370059622,30,7
1370059681,30,7
1370059742,30,7
1370059802,31,6
1370059861,31,6
1370059922,31,6
1370059981,31,6
1370060041,31,6
1370060102,31,6
1370060161,31,6
1370060224,31,6
1370060281,31,6
1370060341,31,6
1370060401,31,6
1370060464,31,6
1370060522,31,6
1370060585,30,7
1370060641,30,7
1370060702,30,7
1370060762,30,7
1370060822,30,7
1370060881,30,7
1370060942,30,7
1370061002,30,7
1370061061,30,7
1370061121,30,7
1370061181,30,7
1370061241,30,7
1370061302,30,7
1370061364,30,7
1370061421,30,7
1370061482,30,7
1370061542,30,7
1370061602,30,7
1370061661,30,7
1370061722,30,7
1370061782,30,7
1370061844,30,7
