date,availableBikes,availableDocks
1370056949,20,20
1370056973,20,20
1370057402,20,20
1370057462,20,20
1370057522,20,20
1370057581,20,20
1370057641,20,20
1370057702,21,19
1370057762,21,19
1370057822,21,19
1370057881,21,19
1370057941,21,19
1370058001,21,19
1370058062,21,19
1370058121,21,19
1370058182,21,19
1370058242,21,19
1370058307,21,19
1370058363,21,19
1370058429,21,19
1370058481,21,19
1370058545,21,19
1370058602,21,19
1370058661,21,19
1370058722,21,19
1370058784,21,19
1370058841,21,19
1370058907,21,19
1370058962,21,19
1370059021,21,19
1370059089,21,19
1370059142,21,19
1370059202,21,19
1370059262,21,19
1370059321,21,19
1370059382,21,19
1370059442,21,19
1370059502,21,19
1370059561,21,19
1370059622,21,19
1370059681,21,19
1370059742,21,19
1370059802,21,19
1370059861,21,19
1370059922,21,19
1370059981,21,19
1370060041,21,19
1370060102,21,19
1370060161,21,19
1370060224,21,19
1370060281,21,19
1370060341,21,19
1370060401,21,19
1370060464,21,19
1370060522,21,19
1370060585,21,19
1370060641,21,19
1370060702,21,19
1370060762,21,19
1370060822,21,19
1370060881,21,19
1370060942,21,19
1370061002,21,19
1370061061,21,19
1370061121,21,19
1370061181,21,19
1370061241,21,19
1370061302,21,19
1370061364,21,19
1370061421,22,18
1370061482,22,18
1370061542,22,18
1370061602,22,18
1370061661,22,18
1370061722,21,19
1370061782,21,19
1370061844,20,20
