Timestamp, AvailableBikes, AvailableDocks
1370056949, 15, 7
1370056973, 15, 7
1370057402, 15, 7
1370057462, 15, 7
1370057522, 15, 7
1370057581, 15, 7
1370057641, 15, 7
1370057702, 15, 7
1370057762, 15, 7
1370057822, 15, 7
1370057881, 15, 7
1370057941, 15, 7
1370058001, 15, 7
1370058062, 15, 7
1370058121, 15, 7
1370058182, 15, 7
1370058242, 15, 7
1370058307, 15, 7
1370058363, 15, 7
1370058429, 15, 7
1370058481, 15, 7
1370058545, 15, 7
1370058602, 15, 7
1370058661, 15, 7
1370058722, 15, 7
1370058784, 15, 7
1370058841, 15, 7
1370058907, 14, 8
1370058962, 14, 7
1370059021, 14, 7
1370059089, 14, 7
1370059142, 14, 7
1370059202, 14, 7
1370059262, 14, 7
1370059321, 14, 7
1370059382, 14, 7
1370059442, 14, 7
1370059502, 14, 7
