Timestamp, AvailableBikes, AvailableDocks
1370056949, 4, 18
1370056973, 4, 18
1370057402, 4, 18
1370057462, 4, 18
1370057522, 4, 18
1370057581, 4, 18
1370057641, 4, 18
1370057702, 4, 18
1370057762, 4, 18
1370057822, 4, 18
1370057881, 4, 18
1370057941, 4, 18
1370058001, 4, 18
1370058062, 4, 18
1370058121, 4, 18
1370058182, 4, 18
1370058242, 4, 18
1370058307, 4, 18
1370058363, 4, 18
1370058429, 4, 18
1370058481, 4, 18
1370058545, 4, 18
1370058602, 4, 18
1370058661, 4, 18
1370058722, 4, 18
1370058784, 4, 18
1370058841, 4, 18
1370058907, 5, 17
1370058962, 5, 17
1370059021, 5, 17
1370059089, 5, 17
1370059142, 5, 17
1370059202, 5, 17
1370059262, 5, 17
1370059321, 5, 17
1370059382, 5, 17
1370059442, 5, 17
1370059502, 5, 17
