date,availableBikes,availableDocks
1370056949,12,20
1370056973,12,20
1370057402,11,21
1370057462,11,21
1370057522,11,21
1370057581,11,21
1370057641,9,23
1370057702,9,23
1370057762,9,23
1370057822,9,23
1370057881,9,23
1370057941,9,23
1370058001,9,23
1370058062,9,23
1370058121,9,23
1370058182,9,23
1370058242,9,23
1370058307,9,23
1370058363,9,23
1370058429,9,23
1370058481,9,23
1370058545,9,23
1370058602,9,23
1370058661,9,23
1370058722,9,23
1370058784,9,23
1370058841,9,23
1370058907,9,23
1370058962,9,23
1370059021,9,23
1370059089,9,23
1370059142,9,23
1370059202,10,22
1370059262,10,22
1370059321,10,22
1370059382,10,22
1370059442,10,22
1370059502,10,22
1370059561,10,22
1370059622,10,22
1370059681,10,22
1370059742,10,22
1370059802,10,22
1370059861,10,22
1370059922,10,22
1370059981,10,22
1370060041,10,22
1370060102,10,22
1370060161,10,22
1370060224,10,22
1370060281,10,22
1370060341,10,22
1370060401,10,22
1370060464,10,22
1370060522,10,22
1370060585,10,22
1370060641,10,22
1370060702,10,22
1370060762,10,22
1370060822,10,22
1370060881,10,22
1370060942,10,22
1370061002,10,22
1370061061,10,22
1370061121,10,22
1370061181,10,22
1370061241,10,22
1370061302,10,22
1370061364,10,22
1370061421,10,22
1370061482,10,22
1370061542,10,22
1370061602,10,22
1370061661,10,22
1370061722,10,22
1370061782,10,22
1370061844,10,22
